journal;year;url;jel
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0916-5;E22
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0916-5;E32
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0916-5;G21
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0928-1;F32
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0928-1;F41
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0928-1;F44
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0906-7;E24
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0906-7;E44
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0906-7;G10
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0900-0;D92
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0900-0;E62
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0900-0;H62
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0899-2;G21
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0899-2;G01
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0899-2;D82
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0897-4;G21
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0897-4;G28
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-015-0897-4;E61
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-016-0952-9;E44
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-016-0952-9;G01
Economic Theory;2016;https://link.springer.com/article/10.1007/s00199-016-0952-9;G21
