journal;year;url;jel
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9362-z;C72
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9362-z;C92
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9362-z;D82
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9362-z;D83
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9363-y;A13
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9363-y;C92
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9363-y;D03
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9363-y;D64
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9364-x;C72
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9364-x;C91
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9364-x;Z13
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9365-9;C72
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9365-9;C91
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9365-9;D72
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9365-9;D82
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9366-8;C92
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9366-8;D83
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9367-7;C73
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9367-7;C91
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9367-7;D03
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9368-6;C70
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9368-6;C91
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9368-6;C93
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9368-6;D63
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9368-6;D64
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9369-5;C92
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9369-5;D82
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9369-5;G12
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9369-5;G14
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9370-z;B49
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9370-z;C72
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9370-z;C90
Experimental Economics;2014;https://link.springer.com/article/10.1007/s10683-013-9370-z;C91
