journal;year;url;jel
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0492-8;C72
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0492-8;D44
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0492-8;D82
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0503-9;C70
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0503-9;C72
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0503-9;C79
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0503-9;D44
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0503-9;D63
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0503-9;D82
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0465-y;C71
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0517-3;C62
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0517-3;C65
International Journal of Game Theory;2016;https://link.springer.com/article/10.1007/s00182-015-0517-3;C72
