journal;year;url;jel
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9179-7;D7
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9179-7;H4
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9179-7;C72
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9180-1;H21
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9180-1;H71
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9180-1;J51
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9182-z;D43
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9182-z;H21
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9183-y;C72
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9183-y;M41
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9184-x;H55
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9184-x;J22
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9184-x;J26
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9184-x;J48
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9188-6;I18
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9188-6;J18
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9188-6;H21
International Tax and Public Finance;2012;https://link.springer.com/article/10.1007/s10797-011-9188-6;H31
