journal;year;url;jel
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1007;C63
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1007;D04
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1007;E61
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1007;H41
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1007;R23
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1007;R31
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1007;R38
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1063;C53
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1063;F31
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1063;F37
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1063;E43
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1063;E52
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1120;C53
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1120;E32
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1120;E37
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1120;E43
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1120;E44
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1120;E52
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1120;G01
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1155;A12
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1155;D12
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1155;D87
Journal of Economic Literature;2013;https://www.aeaweb.org/articles?id=10.1257/jel.51.4.1183;Y30
