journal;year;url;jel
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7404-5;C00
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7404-5;O14
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7404-5;O41
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7404-5;O47
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7405-4;O40
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7405-4;P10
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7405-4;J12
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7405-4;N10
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7405-4;K19
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7405-4;Q15
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7407-2;O47
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7407-2;J24
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-7407-2;I20
