journal;year;url;jel
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01020-z;H55
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01020-z;I15
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01020-z;O41
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01024-9;J13
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01024-9;J14
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01024-9;J22
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01023-w;I38
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01023-w;J31
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01023-w;J38
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01023-w;K42
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01022-x;J15
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01022-x;J61
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01015-w;I12
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01015-w;I13
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01015-w;I18
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01013-y;I1
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01013-y;N9
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01018-7;I12
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01018-7;J13
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01018-7;O15
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01021-y;D91
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01021-y;J15
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01021-y;J71
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01021-y;Z22
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-00984-2;C26
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-00984-2;J16
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-00984-2;J47
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-00984-2;K14
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01010-1;J13
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01010-1;J18
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01010-1;J21
Journal of Population Economics;2024;https://link.springer.com/article/10.1007/s00148-024-01010-1;J24
