journal;year;url;jel
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00122-2;C91
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00122-2;C92
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00122-2;H41
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00125-z;C72
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00125-z;C92
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00121-3;C91
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00121-3;C93
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00121-3;D82
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00121-3;H26
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00129-3;C72
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00129-3;C91
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00129-3;D80
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00129-3;D91
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00124-0;C93
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00124-0;D90
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00124-0;D91
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00124-0;J9
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00128-4;A13
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00128-4;C91
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00128-4;D01
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00128-4;D64
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00123-1;A10
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00123-1;C12
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-022-00123-1;C9
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00131-9;C91
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00131-9;C92
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00131-9;Q25
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00131-9;Q57
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00130-w;C90
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00130-w;C87
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00127-5;D9
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00127-5;D90
Journal of the Economic Science Association;2023;https://link.springer.com/article/10.1007/s40881-023-00127-5;D91
