journal;year;url;jel
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20170634;E21
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20170634;G51
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20170634;K35
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20190690;D72
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20190690;H75
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20190690;I32
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20190690;I38
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20160613;E24
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20160613;E32
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20160613;J22
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20160613;J23
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20160613;J65
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180529;D31
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180529;H22
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180529;H24
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180529;J24
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180529;J31
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180529;R23
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180631;F35
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180631;O19
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180631;O47
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180631;P33
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180631;P34
American Economic Journal: Economic Policy;2021;https://www.aeaweb.org/articles?id=10.1257/pol.20180218;L11
