journal;year;url;jel
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09218-2;L41
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09218-2;L13
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09218-2;O32
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09218-2;C63
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09213-7;D21
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09213-7;D43
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09213-7;K21
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09213-7;L13
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09213-7;L41
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09213-7;M31
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09221-7;D21
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09221-7;D22
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09221-7;K42
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09221-7;L24
Quantitative Marketing and Economics;2020;https://link.springer.com/article/10.1007/s11129-019-09221-7;L86
